taxon	clade	ecv_female	mass_female
Papio_ursinus	Catarrhine	165	14800
Perodicticus_potto	Strepsir	11.9	867.9
Phaner_furcifer	Strepsir	6.8	350
Piliocolobus_badius	Catarrhine	62.5	8210
Piliocolobus_kirkii	Catarrhine	55.5	5460
Piliocolobus_tephrosceles	Catarrhine	72.5	7258
Pithecia_pithecia	Platyrrhine	32.6	1580
Pongo_abelii	Catarrhine	341.2	41148
Pongo_pygmaeus	Catarrhine	337.7	36947.6
Presbytis_comata	Catarrhine	59	6710
Presbytis_melalophos	Catarrhine	59.2	6566.6
Procolobus_verus	Catarrhine	51.6	4200
Propithecus_deckenii	Catarrhine	29	3633.3
Propithecus_diadema	Catarrhine	40.5	6210
Propithecus_edwardsi	Catarrhine	40.2	5895
Propithecus_verreauxi	Catarrhine	24.9	2980
Pygathrix_nemaeus	Catarrhine	89.5	8440
Rhinopithecus_roxellana	Catarrhine	112.7	11600
Saguinus_fuscicollis	Platyrrhine	8	396.6
Saguinus_geoffroyi	Platyrrhine	10.2	534.4
Saguinus_leucopus	Platyrrhine	9.6	539
Saguinus_midas	Platyrrhine	10	591
Saguinus_mystax	Platyrrhine	11	538
Saguinus_niger	Platyrrhine	9.6	370
Saguinus_oedipus	Platyrrhine	9.9	445.1
Saimiri_oerstedii	Platyrrhine	25.5	680
Saimiri_sciureus	Platyrrhine	24	742.5
Semnopithecus_entellus	Catarrhine	104.5	11340
Symphalangus_syndactylus	Catarrhine	122.5	10710
Tarsius_bancanus	Strepsir	3.2	123
Tarsius_syrichta	Strepsir	3.3	117
Theropithecus_gelada	Catarrhine	124.5	11700
Trachypithecus_cristatus	Catarrhine	55	6059.7
Trachypithecus_obscurus	Catarrhine	60	6764.8
Trachypithecus_phayrei	Catarrhine	69.2	7182
Trachypithecus_pileatus	Catarrhine	91.4	11340
Trachypithecus_vetulus	Catarrhine	60.4	5103
Varecia_rubra	Strepsir	31.1	3340
Varecia_variegata	Strepsir	31.2	3520
