Site,Ann_rain
ABER,750
ABI.SHA,500
ABTL,681
ADX,27
AIHS,84
AKA,937
AMB,510
ANG,850
ANME,231
APFR,870
ARAW,350
ARU,1125
ATFR,858
ATNR,41
AWA,619
BAD,1238
BAIE,57
BALE,1000
BANC,1440
BASA,869
BAZ,944
BBN,1527
BELZ,484
BEN,1285
BF,1480
BHINE,508
BIK,797
BIN,825
BON,977
BOUH,192
BUD,1684
BUF,967
CCSR,8
CHAM,401
CHO,650
CLB,517
CMA,2110
COM,1200
CON,1317
CONG,1832
CROS,1550
DEUX,887
DIAW,219
DJU,992
DVGP,371
ENIG,1596
ETO,393
FADA,72
