animal,Species,Location,Vision,Overlap
Propithecus_verreauxi,Propithecus_verreauxi,Back,Tetra,yes
Propithecus_verreauxi,Propithecus_verreauxi,Back,Tri,yes
Propithecus_verreauxi,Propithecus_verreauxi,Back,Di,yes
Propithecus_verreauxi,Propithecus_verreauxi,Belly,Tetra,yes
Propithecus_verreauxi,Propithecus_verreauxi,Belly,Tri,yes
Propithecus_verreauxi,Propithecus_verreauxi,Belly,Di,yes
Propithecus_verreauxi,Propithecus_verreauxi,Tail,Tetra,yes
Propithecus_verreauxi,Propithecus_verreauxi,Tail,Tri,yes
Propithecus_verreauxi,Propithecus_verreauxi,Tail,Di,yes
Callithrix_jacchus,Callithrix_jacchus,Back,Tetra,yes
Callithrix_jacchus,Callithrix_jacchus,Back,Tri,yes
Callithrix_jacchus,Callithrix_jacchus,Back,Di,yes
Callithrix_jacchus,Callithrix_jacchus,Belly,Tetra,yes
Callithrix_jacchus,Callithrix_jacchus,Belly,Tri,yes
Callithrix_jacchus,Callithrix_jacchus,Belly,Di,yes
Callithrix_jacchus,Callithrix_jacchus,Cap,Tetra,yes
Callithrix_jacchus,Callithrix_jacchus,Cap,Tri,yes
Callithrix_jacchus,Callithrix_jacchus,Cap,Di,yes
Callithrix_jacchus,Callithrix_jacchus,Tail,Tetra,yes
Callithrix_jacchus,Callithrix_jacchus,Tail,Tri,yes
Callithrix_jacchus,Callithrix_jacchus,Tail,Di,yes
Cebus_olivaceus,Cebus_olivaceus,Back,Tetra,yes
Cebus_olivaceus,Cebus_olivaceus,Back,Tri,yes
Cebus_olivaceus,Cebus_olivaceus,Back,Di,yes
Cebus_olivaceus,Cebus_olivaceus,Belly,Tetra,yes
Cebus_olivaceus,Cebus_olivaceus,Belly,Tri,yes
Cebus_olivaceus,Cebus_olivaceus,Belly,Di,yes
Cebus_olivaceus,Cebus_olivaceus,Cap,Tetra,yes
Cebus_olivaceus,Cebus_olivaceus,Cap,Tri,yes
Cebus_olivaceus,Cebus_olivaceus,Cap,Di,yes
