species,log_ecv_female,log_mass_female
Procolobus_verus,1.712892019,3.62324929
Propithecus_deckenii,1.461648568,3.560305243
Propithecus_diadema,1.607526249,3.7930916
Propithecus_edwardsi,1.604620665,3.770483809
Propithecus_verreauxi,1.396584983,3.474216264
Pygathrix_nemaeus,1.951842202,3.926342447
Rhinopithecus_roxellana,2.051926536,4.064457989
Saguinus_fuscicollis,0.904977305,2.598304039
Saguinus_geoffroyi,1.008344018,2.727889668
Saguinus_leucopus,0.982855807,2.731588765
Saguinus_midas,0.999052046,2.771587481
Saguinus_mystax,1.040895396,2.730782276
Saguinus_niger,0.98329715,2.568201724
Saguinus_oedipus,0.996621491,2.648468436
Saimiri_oerstedii,1.406901204,2.832508913
Saimiri_sciureus,1.380495122,2.870687174
Semnopithecus_entellus,2.019313156,4.054613055
Symphalangus_syndactylus,2.087962006,4.029789471
Tarsius_bancanus,0.501295242,2.089905111
Tarsius_syrichta,0.514006048,2.068185862
Theropithecus_gelada,2.09523957,4.068185862
Trachypithecus_cristatus,1.740194967,3.782449332
Trachypithecus_obscurus,1.777920416,3.830253535
Trachypithecus_phayrei,1.839799206,3.856245401
Trachypithecus_pileatus,1.961002593,4.054613055
Trachypithecus_vetulus,1.781010956,3.707825568
Varecia_rubra,1.492535689,3.523746467
Varecia_variegata,1.493691683,3.546542663
